date,kashima-antlers,jef-united,urawa-red-diamonds,tokyo-verdy,yokohama-fa-marinos,yokohama-flugels,shimizu-s-pulse,nagoya-grampus-eight,gamba-osaka,sanfrecce-hiroshima,kashiwa-reysol,shonan-bellmare,jubilo-iwata,consadole-sapporo,vissel-kobe,cerezo-osaka,kawasaki-frontale,fc-tokyo,avispa-fukuoka,kyoto-sanga,omiya-ardija,ventforet-kofu,montedio-yamagata,oita-trinita,sagan-tosu,yokohama-fc,tokushima-vortis,matsumoto-yamaga,v-varen-nagasaki,vegalta-sendai,albirex-niigata
2013-03-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013-03-03,5,13,1,13,1,13,5,5,13,13,13,13,5,13,13,1,13,1,13,13,5,5,13,13,5,13,13,13,13,5,13
2013-03-04,6,14,1,14,1,14,6,6,14,14,1,14,6,14,14,1,14,1,14,14,6,6,14,14,6,14,14,14,14,6,14
2013-03-05,6,14,1,14,1,14,6,6,14,14,1,14,6,14,14,1,14,1,14,14,6,6,14,14,6,14,14,14,14,6,14
2013-03-06,6,14,1,14,1,14,6,6,14,14,1,14,6,14,14,1,14,1,14,14,6,6,14,14,6,14,14,14,14,6,14
2013-03-07,6,14,1,14,1,14,6,6,14,14,1,14,6,14,14,1,14,1,14,14,6,6,14,14,6,14,14,14,14,6,14
2013-03-08,6,14,1,14,1,14,6,6,14,14,1,14,6,14,14,1,14,1,14,14,6,6,14,14,6,14,14,14,14,6,14
2013-03-09,6,14,1,14,1,14,6,6,14,14,1,14,6,14,14,1,14,1,14,14,6,6,14,14,6,14,14,14,14,6,14
2013-03-10,5,18,1,18,1,18,10,10,18,7,7,10,10,18,18,1,10,1,18,18,5,10,18,10,9,18,18,18,18,10,18
2013-03-11,5,18,1,18,1,18,10,10,18,7,7,10,10,18,18,1,10,1,18,18,5,10,18,10,9,18,18,18,18,10,18
2013-03-12,5,18,1,18,1,18,10,10,18,7,7,10,10,18,18,1,10,1,18,18,5,10,18,10,9,18,18,18,18,10,18
2013-03-13,5,18,1,18,1,18,10,10,18,7,7,10,10,18,18,1,10,1,18,18,5,10,18,10,9,18,18,18,18,10,18
2013-03-14,5,18,1,18,1,18,10,10,18,7,7,10,10,18,18,1,10,1,18,18,5,10,18,10,9,18,18,18,18,10,18
2013-03-15,5,18,1,18,1,18,10,10,18,7,7,10,10,18,18,1,10,1,18,18,5,10,18,10,9,18,18,18,18,10,18
2013-03-16,5,18,1,18,1,18,10,10,18,7,7,10,10,18,18,1,10,1,18,18,5,10,18,10,9,18,18,18,18,10,18
2013-03-17,7,19,3,19,1,19,12,7,19,10,10,12,15,19,19,1,15,4,19,19,5,15,19,12,5,19,19,19,19,7,15
2013-03-18,5,19,3,19,1,19,12,8,19,8,11,12,15,19,19,1,15,4,19,19,5,15,19,12,5,19,19,19,19,8,15
2013-03-19,5,19,3,19,1,19,12,8,19,8,11,12,15,19,19,1,15,4,19,19,5,15,19,12,5,19,19,19,19,8,15
2013-03-20,5,19,3,19,1,19,12,8,19,8,11,12,15,19,19,1,15,4,19,19,5,15,19,12,5,19,19,19,19,8,15
2013-03-21,5,19,3,19,1,19,12,8,19,8,11,12,15,19,19,1,15,4,19,19,5,15,19,12,5,19,19,19,19,8,15
2013-03-22,5,19,3,19,1,19,12,8,19,8,11,12,15,19,19,1,15,4,19,19,5,15,19,12,5,19,19,19,19,8,15
2013-03-23,5,19,3,19,1,19,12,8,19,8,11,12,15,19,19,1,15,4,19,19,5,15,19,12,5,19,19,19,19,8,15
2013-03-24,5,19,3,19,1,19,12,8,19,8,11,12,15,19,19,1,15,4,19,19,5,15,19,12,5,19,19,19,19,8,15
2013-03-25,5,19,3,19,1,19,12,8,19,8,11,12,15,19,19,1,15,4,19,19,5,15,19,12,5,19,19,19,19,8,15
2013-03-26,5,19,3,19,1,19,12,8,19,8,11,12,15,19,19,1,15,4,19,19,5,15,19,12,5,19,19,19,19,8,15
2013-03-27,5,19,3,19,1,19,12,8,19,8,11,12,15,19,19,1,15,4,19,19,5,15,19,12,5,19,19,19,19,8,15
2013-03-28,5,19,3,19,1,19,12,8,19,8,11,12,15,19,19,1,15,4,19,19,5,15,19,12,5,19,19,19,19,8,15
2013-03-29,5,19,3,19,1,19,12,8,19,8,11,12,15,19,19,1,15,4,19,19,5,15,19,12,5,19,19,19,19,8,15
2013-03-30,5,19,3,19,1,19,12,8,19,8,11,12,15,19,19,1,15,4,19,19,5,15,19,12,5,19,19,19,19,8,15
2013-03-31,10,19,2,19,1,19,12,5,19,5,7,12,12,19,19,2,12,7,19,19,4,12,19,12,7,19,19,19,19,10,18
2013-04-01,10,19,2,19,1,19,12,5,19,5,7,12,12,19,19,2,12,7,19,19,4,12,19,12,7,19,19,19,19,10,18
2013-04-02,10,19,2,19,1,19,12,5,19,5,7,12,12,19,19,2,12,7,19,19,4,12,19,12,7,19,19,19,19,10,18
2013-04-03,10,19,2,19,1,19,12,5,19,5,7,12,12,19,19,2,12,7,19,19,4,12,19,12,7,19,19,19,19,10,18
2013-04-04,10,19,2,19,1,19,12,5,19,5,7,12,12,19,19,2,12,7,19,19,4,12,19,12,7,19,19,19,19,10,18
2013-04-05,10,19,2,19,1,19,12,5,19,5,7,12,12,19,19,2,12,7,19,19,4,12,19,12,7,19,19,19,19,10,18
2013-04-06,10,19,2,19,1,19,12,5,19,5,7,12,12,19,19,2,12,7,19,19,4,12,19,12,7,19,19,19,19,10,18
2013-04-07,5,19,2,19,1,19,11,5,19,7,7,15,17,19,19,4,15,9,19,19,3,11,19,17,9,19,19,19,19,11,14
2013-04-08,5,19,2,19,1,19,11,5,19,7,7,15,17,19,19,4,15,9,19,19,3,11,19,17,9,19,19,19,19,11,14
2013-04-09,5,19,2,19,1,19,11,5,19,7,7,15,17,19,19,4,15,9,19,19,3,11,19,17,9,19,19,19,19,11,14
2013-04-10,5,19,2,19,1,19,11,5,19,7,7,15,17,19,19,4,15,9,19,19,3,11,19,17,9,19,19,19,19,11,14
2013-04-11,5,19,2,19,1,19,11,5,19,7,7,15,17,19,19,4,15,9,19,19,3,11,19,17,9,19,19,19,19,11,14
2013-04-12,5,19,2,19,1,19,11,5,19,7,7,15,17,19,19,4,15,9,19,19,3,11,19,17,9,19,19,19,19,11,14
2013-04-13,5,19,2,19,1,19,11,5,19,7,7,15,17,19,19,4,15,9,19,19,3,11,19,17,9,19,19,19,19,11,14
2013-04-14,4,19,3,19,1,19,7,4,19,10,10,15,17,19,19,6,15,12,19,19,2,7,19,17,12,19,19,19,19,7,14
2013-04-15,4,19,2,19,1,19,8,4,19,6,11,15,17,19,19,6,15,12,19,19,3,8,19,17,12,19,19,19,19,8,14
2013-04-16,4,19,2,19,1,19,8,4,19,6,11,15,17,19,19,6,15,12,19,19,3,8,19,17,12,19,19,19,19,8,14
2013-04-17,4,19,2,19,1,19,8,4,19,6,11,15,17,19,19,6,15,12,19,19,3,8,19,17,12,19,19,19,19,8,14
2013-04-18,4,19,2,19,1,19,8,4,19,6,11,15,17,19,19,6,15,12,19,19,3,8,19,17,12,19,19,19,19,8,14
2013-04-19,4,19,2,19,1,19,8,4,19,6,11,15,17,19,19,6,15,12,19,19,3,8,19,17,12,19,19,19,19,8,14
2013-04-20,4,19,2,19,1,19,8,4,19,6,11,15,17,19,19,6,15,12,19,19,3,8,19,17,12,19,19,19,19,8,14
2013-04-21,5,19,3,19,1,19,9,6,19,4,8,14,17,19,19,6,14,9,19,19,2,9,19,17,14,19,19,19,19,12,13
2013-04-22,5,19,3,19,1,19,9,6,19,4,8,14,17,19,19,6,14,9,19,19,2,9,19,17,14,19,19,19,19,12,13
2013-04-23,5,19,3,19,1,19,9,6,19,4,8,14,17,19,19,6,14,9,19,19,2,9,19,17,14,19,19,19,19,12,13
2013-04-24,5,19,3,19,1,19,9,6,19,4,8,14,17,19,19,6,14,9,19,19,2,9,19,17,14,19,19,19,19,12,13
2013-04-25,5,19,3,19,1,19,9,6,19,4,8,14,17,19,19,6,14,9,19,19,2,9,19,17,14,19,19,19,19,12,13
2013-04-26,5,19,3,19,1,19,9,6,19,4,8,14,17,19,19,6,14,9,19,19,2,9,19,17,14,19,19,19,19,12,13
2013-04-27,5,19,3,19,2,19,9,6,19,4,8,14,17,19,19,6,14,9,19,19,1,9,19,17,14,19,19,19,19,12,13
2013-04-28,4,19,3,19,2,19,6,6,19,5,10,14,17,19,19,6,14,6,19,19,1,10,19,18,14,19,19,19,19,12,13
2013-04-29,4,19,3,19,2,19,6,6,19,5,10,15,17,19,19,6,15,6,19,19,1,10,19,18,13,19,19,19,19,12,13
2013-04-30,4,19,3,19,2,19,6,6,19,5,10,15,17,19,19,6,15,6,19,19,1,10,19,18,13,19,19,19,19,12,13
2013-05-01,4,19,3,19,2,19,6,6,19,5,10,15,17,19,19,6,15,6,19,19,1,10,19,18,13,19,19,19,19,12,13
2013-05-02,4,19,3,19,2,19,6,6,19,5,10,15,17,19,19,6,15,6,19,19,1,10,19,18,13,19,19,19,19,12,13
2013-05-03,4,19,3,19,2,19,6,6,19,5,10,15,17,19,19,6,15,6,19,19,1,10,19,18,13,19,19,19,19,12,13
2013-05-04,3,19,3,19,2,19,9,9,19,7,11,16,17,19,19,5,13,5,19,19,1,8,19,18,15,19,19,19,19,13,11
2013-05-05,3,19,3,19,2,19,9,9,19,7,11,16,17,19,19,5,13,5,19,19,1,8,19,18,15,19,19,19,19,13,11
2013-05-06,3,19,3,19,2,19,9,9,19,7,11,16,17,19,19,5,13,5,19,19,1,8,19,18,15,19,19,19,19,13,11
2013-05-07,3,19,4,19,2,19,10,10,19,7,9,16,16,19,19,5,10,5,19,19,1,7,19,18,15,19,19,19,19,10,14
