,vissel-kobe,urawa-red-diamonds
Shots,20,14
ShotsOnTarget,8,3
ShotsFromPK,0,0
Passes,397,499
Crosses,16,13
DirectFK,9,13
IndirectFK,1,5
CK,6,4
Throwin,26,19
Dribbling,16,21
Tackles,21,19
Clearances,25,19
Intercepts,5,4
Offsides,4,1
YellowCards,1,0
RedCards,0,0
30mLineEntries,44,48
PenaltyAreaEntries,16,18
Attacks,120,118
ChanceBuildingRate,16.7,11.9
Possession,45.7,54.3
