,sagan-tosu,sanfrecce-hiroshima
Shots,10,12
ShotsOnTarget,1,5
ShotsFromPK,0,0
Passes,413,774
Crosses,17,10
DirectFK,7,17
IndirectFK,0,2
CK,3,3
Throwin,15,14
Dribbling,12,11
Tackles,17,23
Clearances,16,21
Intercepts,7,2
Offsides,2,0
YellowCards,3,1
RedCards,1,0
30mLineEntries,38,47
PenaltyAreaEntries,18,10
Attacks,105,118
ChanceBuildingRate,9.5,10.2
Possession,37.9,62.1
