,kashima-antlers,vissel-kobe
Shots,24,11
ShotsOnTarget,8,4
ShotsFromPK,0,1
Passes,486,423
Crosses,19,14
DirectFK,17,16
IndirectFK,1,4
CK,9,5
Throwin,23,26
Dribbling,16,15
Tackles,33,18
Clearances,24,22
Intercepts,2,3
Offsides,4,1
YellowCards,4,2
RedCards,1,0
30mLineEntries,44,36
PenaltyAreaEntries,27,11
Attacks,141,141
ChanceBuildingRate,17.0,7.8
Possession,51.1,48.9
