,albirex-niigata,sagan-tosu
Shots,13,26
ShotsOnTarget,4,3
ShotsFromPK,0,0
Passes,351,403
Crosses,14,29
DirectFK,11,20
IndirectFK,1,5
CK,3,6
Throwin,13,32
Dribbling,14,10
Tackles,15,20
Clearances,40,12
Intercepts,7,6
Offsides,4,1
YellowCards,2,1
RedCards,0,0
30mLineEntries,36,44
PenaltyAreaEntries,15,33
Attacks,130,159
ChanceBuildingRate,10.0,16.4
Possession,48.9,51.1
