,tokushima-vortis,kashiwa-reysol
Shots,6,15
ShotsOnTarget,3,4
ShotsFromPK,0,0
Passes,373,711
Crosses,10,23
DirectFK,14,15
IndirectFK,3,3
CK,1,2
Throwin,16,28
Dribbling,11,11
Tackles,23,23
Clearances,38,17
Intercepts,5,5
Offsides,3,3
YellowCards,1,1
RedCards,0,0
30mLineEntries,24,70
PenaltyAreaEntries,11,18
Attacks,129,130
ChanceBuildingRate,4.7,11.5
Possession,38.1,61.9
