,fc-tokyo,kashima-antlers
Shots,10,20
ShotsOnTarget,3,4
ShotsFromPK,0,0
Passes,335,471
Crosses,14,22
DirectFK,17,20
IndirectFK,1,2
CK,2,3
Throwin,20,18
Dribbling,9,25
Tackles,26,15
Clearances,19,27
Intercepts,3,4
Offsides,2,1
YellowCards,3,3
RedCards,0,1
30mLineEntries,33,62
PenaltyAreaEntries,10,19
Attacks,125,128
ChanceBuildingRate,8.0,15.6
Possession,44.4,55.6
