,cerezo-osaka,yokohama-fa-marinos
Shots,15,15
ShotsOnTarget,5,5
ShotsFromPK,0,0
Passes,500,474
Crosses,11,12
DirectFK,7,15
IndirectFK,3,0
CK,3,1
Throwin,17,30
Dribbling,5,13
Tackles,21,23
Clearances,24,15
Intercepts,2,6
Offsides,0,3
YellowCards,1,1
RedCards,0,0
30mLineEntries,41,57
PenaltyAreaEntries,12,14
Attacks,124,141
ChanceBuildingRate,12.1,10.6
Possession,48.9,51.1
