,kawasaki-frontale,sagan-tosu
Shots,22,9
ShotsOnTarget,7,0
ShotsFromPK,0,0
Passes,521,393
Crosses,10,14
DirectFK,13,16
IndirectFK,3,1
CK,8,5
Throwin,12,14
Dribbling,22,13
Tackles,17,13
Clearances,39,22
Intercepts,6,6
Offsides,1,3
YellowCards,1,2
RedCards,0,1
30mLineEntries,59,31
PenaltyAreaEntries,16,8
Attacks,114,115
ChanceBuildingRate,19.3,7.8
Possession,54.7,45.3
