,shimizu-s-pulse,nagoya-grampus-eight
Shots,16,9
ShotsOnTarget,3,3
ShotsFromPK,0,0
Passes,542,330
Crosses,34,9
DirectFK,10,12
IndirectFK,1,3
CK,11,5
Throwin,16,13
Dribbling,23,11
Tackles,16,15
Clearances,21,37
Intercepts,3,6
Offsides,3,1
YellowCards,3,3
RedCards,1,1
30mLineEntries,60,25
PenaltyAreaEntries,22,12
Attacks,133,123
ChanceBuildingRate,12.0,7.3
Possession,58.3,41.7
