,nagoya-grampus-eight,yokohama-fa-marinos
Shots,7,11
ShotsOnTarget,2,4
ShotsFromPK,0,0
Passes,536,457
Crosses,9,22
DirectFK,12,9
IndirectFK,3,0
CK,3,7
Throwin,21,28
Dribbling,8,11
Tackles,20,22
Clearances,32,26
Intercepts,3,1
Offsides,0,3
YellowCards,2,3
RedCards,0,0
30mLineEntries,53,45
PenaltyAreaEntries,10,23
Attacks,136,139
ChanceBuildingRate,5.1,7.9
Possession,53.1,46.9
