,shimizu-s-pulse,yokohama-fa-marinos
Shots,9,12
ShotsOnTarget,2,5
ShotsFromPK,0,0
Passes,321,605
Crosses,16,12
DirectFK,14,16
IndirectFK,4,1
CK,6,6
Throwin,32,25
Dribbling,7,12
Tackles,30,28
Clearances,27,23
Intercepts,0,3
Offsides,1,3
YellowCards,2,4
RedCards,1,0
30mLineEntries,27,39
PenaltyAreaEntries,8,10
Attacks,143,145
ChanceBuildingRate,6.3,8.3
Possession,38.4,61.6
