,nagoya-grampus-eight,sagan-tosu
Shots,17,17
ShotsOnTarget,2,6
ShotsFromPK,1,1
Passes,503,376
Crosses,8,15
DirectFK,15,7
IndirectFK,3,3
CK,1,7
Throwin,18,26
Dribbling,17,6
Tackles,15,24
Clearances,26,19
Intercepts,7,8
Offsides,3,3
YellowCards,1,3
RedCards,0,0
30mLineEntries,34,41
PenaltyAreaEntries,12,20
Attacks,151,149
ChanceBuildingRate,11.3,11.4
Possession,53.8,46.2
