,kashima-antlers,vegalta-sendai
Shots,14,13
ShotsOnTarget,5,1
ShotsFromPK,0,0
Passes,447,649
Crosses,11,20
DirectFK,13,16
IndirectFK,5,6
CK,3,4
Throwin,28,18
Dribbling,17,13
Tackles,9,22
Clearances,30,19
Intercepts,4,1
Offsides,4,5
YellowCards,1,0
RedCards,0,0
30mLineEntries,41,43
PenaltyAreaEntries,10,15
Attacks,135,127
ChanceBuildingRate,10.4,10.2
Possession,42.4,57.6
