,ventforet-kofu,cerezo-osaka
Shots,12,10
ShotsOnTarget,2,2
ShotsFromPK,0,0
Passes,361,664
Crosses,12,18
DirectFK,12,15
IndirectFK,3,3
CK,1,4
Throwin,23,25
Dribbling,18,13
Tackles,26,20
Clearances,19,16
Intercepts,7,4
Offsides,3,3
YellowCards,1,3
RedCards,0,0
30mLineEntries,33,43
PenaltyAreaEntries,7,9
Attacks,143,139
ChanceBuildingRate,8.4,7.2
Possession,37.8,62.2
