,omiya-ardija,cerezo-osaka
Shots,12,16
ShotsOnTarget,4,4
ShotsFromPK,0,0
Passes,408,561
Crosses,24,21
DirectFK,10,10
IndirectFK,7,2
CK,2,4
Throwin,28,27
Dribbling,18,13
Tackles,16,17
Clearances,40,35
Intercepts,1,3
Offsides,2,6
YellowCards,2,1
RedCards,0,0
30mLineEntries,37,60
PenaltyAreaEntries,17,14
Attacks,131,128
ChanceBuildingRate,9.2,12.5
Possession,45,55
