,yokohama-fa-marinos,shimizu-s-pulse
Shots,23,8
ShotsOnTarget,7,1
ShotsFromPK,0,0
Passes,527,434
Crosses,21,14
DirectFK,14,14
IndirectFK,2,1
CK,5,5
Throwin,31,19
Dribbling,12,10
Tackles,29,25
Clearances,26,21
Intercepts,2,6
Offsides,1,1
YellowCards,3,0
RedCards,0,0
30mLineEntries,45,24
PenaltyAreaEntries,22,9
Attacks,141,135
ChanceBuildingRate,16.3,5.9
Possession,55.4,44.6
