,shimizu-s-pulse,kashima-antlers
Shots,12,16
ShotsOnTarget,3,6
ShotsFromPK,0,1
Passes,374,447
Crosses,12,18
DirectFK,19,12
IndirectFK,3,5
CK,2,1
Throwin,19,17
Dribbling,7,18
Tackles,12,11
Clearances,19,11
Intercepts,1,2
Offsides,4,2
YellowCards,3,6
RedCards,1,1
30mLineEntries,36,42
PenaltyAreaEntries,7,11
Attacks,116,112
ChanceBuildingRate,10.3,14.3
Possession,43.8,56.2
