,sagan-tosu,urawa-red-diamonds
Shots,10,13
ShotsOnTarget,2,4
ShotsFromPK,0,1
Passes,272,496
Crosses,16,5
DirectFK,17,22
IndirectFK,1,3
CK,7,3
Throwin,17,11
Dribbling,5,14
Tackles,15,11
Clearances,14,33
Intercepts,3,0
Offsides,2,1
YellowCards,1,2
RedCards,1,0
30mLineEntries,31,39
PenaltyAreaEntries,16,12
Attacks,119,116
ChanceBuildingRate,8.4,11.2
Possession,38.5,61.5
