,vissel-kobe,kashiwa-reysol
Shots,14,19
ShotsOnTarget,7,1
ShotsFromPK,0,0
Passes,485,572
Crosses,19,16
DirectFK,12,14
IndirectFK,5,3
CK,3,2
Throwin,12,20
Dribbling,16,15
Tackles,25,25
Clearances,25,21
Intercepts,8,5
Offsides,3,5
YellowCards,1,2
RedCards,1,0
30mLineEntries,37,54
PenaltyAreaEntries,13,10
Attacks,141,147
ChanceBuildingRate,9.9,12.9
Possession,46.2,53.8
