,omiya-ardija,fc-tokyo
Shots,4,24
ShotsOnTarget,2,5
ShotsFromPK,0,0
Passes,334,472
Crosses,12,22
DirectFK,17,13
IndirectFK,5,3
CK,1,6
Throwin,22,35
Dribbling,10,24
Tackles,27,20
Clearances,36,18
Intercepts,1,1
Offsides,2,5
YellowCards,2,2
RedCards,0,0
30mLineEntries,37,56
PenaltyAreaEntries,3,20
Attacks,130,139
ChanceBuildingRate,3.1,17.3
Possession,45.8,54.2
