,sanfrecce-hiroshima,kawasaki-frontale
Shots,17,7
ShotsOnTarget,6,1
ShotsFromPK,0,0
Passes,564,592
Crosses,26,8
DirectFK,11,9
IndirectFK,3,2
CK,6,1
Throwin,22,16
Dribbling,23,7
Tackles,20,27
Clearances,12,25
Intercepts,4,6
Offsides,2,3
YellowCards,1,2
RedCards,0,1
30mLineEntries,46,42
PenaltyAreaEntries,10,11
Attacks,112,99
ChanceBuildingRate,15.2,7.1
Possession,51.4,48.6
