date,kashima-antlers,jef-united,urawa-red-diamonds,yokohama-fa-marinos,shimizu-s-pulse,nagoya-grampus-eight,gamba-osaka,sanfrecce-hiroshima,jubilo-iwata,kawasaki-frontale,fc-tokyo,omiya-ardija,ventforet-kofu,oita-trinita,albirex-niigata,vissel-kobe,kashiwa-reysol,yokohama-fc
2007-05-12,13,10,19,16,17,15,21,15,18,18,8,5,13,9,16,13,18,4
2007-05-13,16,10,19,16,20,18,21,15,18,18,11,5,13,9,16,13,21,7
2007-05-14,16,10,20,16,20,18,22,15,18,21,11,6,13,9,16,14,21,7
2007-05-15,16,10,20,16,20,18,22,15,18,21,11,6,13,9,16,14,21,7
2007-05-16,16,10,20,16,20,18,22,15,18,21,11,6,13,9,16,14,21,7
2007-05-17,16,10,20,16,20,18,22,15,18,21,11,6,13,9,16,14,21,7
2007-05-18,16,10,20,16,20,18,22,15,18,21,11,6,13,9,16,14,21,7
2007-05-19,16,10,20,16,20,18,22,15,18,21,11,6,13,9,16,14,21,7
2007-05-20,17,10,23,16,21,18,25,18,18,21,11,9,14,12,17,14,21,7
2007-05-21,17,10,23,16,21,18,25,18,18,21,14,9,14,12,17,17,21,7
2007-05-22,17,10,23,16,21,18,25,18,18,21,14,9,14,12,17,17,21,7
2007-05-23,17,10,23,16,21,18,25,18,18,21,14,9,14,12,17,17,21,7
2007-05-24,17,10,23,16,21,18,25,18,18,21,14,9,14,12,17,17,21,7
2007-05-25,17,10,23,16,21,18,25,18,18,21,14,9,14,12,17,17,21,7
2007-05-26,17,10,23,16,21,18,25,18,18,21,14,9,14,12,17,17,21,7
2007-05-27,20,10,23,16,21,21,28,21,18,21,14,9,14,12,17,20,21,10
2007-05-28,20,10,24,17,21,21,28,21,18,22,14,10,14,12,20,20,21,10
2007-05-29,20,10,24,17,21,21,28,21,18,22,14,10,14,12,20,20,21,10
2007-05-30,20,10,24,17,21,21,28,21,18,22,14,10,14,12,20,20,21,10
2007-05-31,20,10,24,17,21,21,28,21,18,22,14,10,14,12,20,20,21,10
2007-06-01,20,10,24,17,21,21,28,21,18,22,14,10,14,12,20,20,21,10
2007-06-02,20,10,24,17,21,21,28,21,18,22,14,10,14,12,20,20,21,10
2007-06-03,20,10,24,17,21,21,28,21,18,22,14,10,14,12,20,20,21,10
2007-06-04,20,10,24,17,21,21,28,21,18,22,14,10,14,12,20,20,21,10
2007-06-05,20,10,24,17,21,21,28,21,18,22,14,10,14,12,20,20,21,10
2007-06-06,20,10,24,17,21,21,28,21,18,22,14,10,14,12,20,20,21,10
2007-06-07,20,10,24,17,21,21,28,21,18,22,14,10,14,12,20,20,21,10
2007-06-08,20,10,24,17,21,21,28,21,18,22,14,10,14,12,20,20,21,10
2007-06-09,20,10,24,17,21,21,28,21,18,22,14,10,14,12,20,20,21,10
2007-06-10,21,10,24,20,21,22,31,21,18,23,14,11,14,13,23,20,22,10
2007-06-11,21,10,24,20,21,22,31,21,21,23,17,11,14,13,23,20,22,10
2007-06-12,21,10,24,20,21,22,31,21,21,23,17,11,14,13,23,20,22,10
2007-06-13,21,10,24,20,21,22,31,21,21,23,17,11,14,13,23,20,22,10
2007-06-14,21,10,24,20,21,22,31,21,21,23,17,11,14,13,23,20,22,10
2007-06-15,21,10,24,20,21,22,31,21,21,23,17,11,14,13,23,20,22,10
2007-06-16,21,10,24,20,21,22,31,21,21,23,17,11,14,13,23,20,22,10
2007-06-17,24,10,24,21,22,22,34,21,24,24,17,14,14,16,23,20,23,10
2007-06-18,24,13,27,21,22,22,34,21,24,24,17,14,14,16,23,20,23,10
