,yokohama-fa-marinos,albirex-niigata
Shots,9,10
ShotsOnTarget,2,2
ShotsFromPK,0,0
Passes,441,402
Crosses,11,23
DirectFK,6,11
IndirectFK,4,9
CK,5,8
Throwin,27,18
Dribbling,18,9
Tackles,22,41
Clearances,18,20
Intercepts,3,5
Offsides,8,3
YellowCards,0,1
RedCards,0,0
30mLineEntries,40,43
PenaltyAreaEntries,18,17
DistanceCovered,113246,113825
Sprints,150,176
Attacks,139,137
ChanceBuildingRate,6.5,7.3
Possession,50.5,49.5
