,ventforet-kofu,shonan-bellmare
Shots,17,8
ShotsOnTarget,4,2
ShotsFromPK,0,0
Passes,433,349
Crosses,21,6
DirectFK,19,9
IndirectFK,2,3
CK,11,4
Throwin,29,18
Dribbling,17,11
Tackles,27,16
Clearances,15,42
Intercepts,0,4
Offsides,3,2
YellowCards,0,1
RedCards,0,0
30mLineEntries,47,38
PenaltyAreaEntries,17,4
DistanceCovered,115541,116971
Sprints,164,169
Attacks,147,121
ChanceBuildingRate,11.6,6.6
Possession,53.8,46.2
