,kawasaki-frontale,sagan-tosu
Shots,17,15
ShotsOnTarget,6,6
ShotsFromPK,0,0
Passes,515,395
Crosses,11,17
DirectFK,18,13
IndirectFK,2,3
CK,6,3
Throwin,22,16
Dribbling,19,15
Tackles,17,22
Clearances,25,26
Intercepts,2,3
Offsides,3,2
YellowCards,2,1
RedCards,0,0
30mLineEntries,38,47
PenaltyAreaEntries,16,18
DistanceCovered,110286,116049
Sprints,116,163
Attacks,136,123
ChanceBuildingRate,12.5,12.2
Possession,53.3,46.7
