,vissel-kobe,vegalta-sendai
Shots,24,12
ShotsOnTarget,5,3
ShotsFromPK,0,0
Passes,576,256
Crosses,27,8
DirectFK,9,18
IndirectFK,6,3
CK,10,3
Throwin,28,18
Dribbling,32,10
Tackles,21,36
Clearances,21,59
Intercepts,1,2
Offsides,3,6
YellowCards,2,0
RedCards,0,0
30mLineEntries,61,30
PenaltyAreaEntries,21,10
DistanceCovered,109680,116100
Sprints,150,183
Attacks,131,124
ChanceBuildingRate,18.3,9.7
Possession,63.6,36.4
