,vissel-kobe,sagan-tosu
Shots,28,11
ShotsOnTarget,13,4
ShotsFromPK,0,0
Passes,508,400
Crosses,20,19
DirectFK,7,6
IndirectFK,0,2
CK,8,10
Throwin,18,26
Dribbling,18,10
Tackles,15,15
Clearances,32,29
Intercepts,4,4
Offsides,2,0
YellowCards,0,0
RedCards,0,0
30mLineEntries,52,34
PenaltyAreaEntries,23,15
DistanceCovered,110323,113923
Sprints,165,153
Attacks,109,117
ChanceBuildingRate,25.7,9.4
Possession,52.9,47.1
