,albirex-niigata,vegalta-sendai
Shots,13,23
ShotsOnTarget,1,7
ShotsFromPK,0,0
Passes,422,365
Crosses,15,12
DirectFK,10,19
IndirectFK,3,0
CK,3,4
Throwin,25,20
Dribbling,13,9
Tackles,21,21
Clearances,24,30
Intercepts,1,2
Offsides,0,3
YellowCards,5,3
RedCards,0,0
30mLineEntries,43,47
PenaltyAreaEntries,14,22
DistanceCovered,110513,116419
Sprints,195,182
Attacks,124,135
ChanceBuildingRate,10.5,17.0
Possession,50.3,49.7
