,shimizu-s-pulse,matsumoto-yamaga
Shots,16,6
ShotsOnTarget,2,2
ShotsFromPK,0,1
Passes,514,269
Crosses,23,16
DirectFK,20,10
IndirectFK,5,1
CK,6,2
Throwin,35,19
Dribbling,13,4
Tackles,7,20
Clearances,4,35
Intercepts,0,3
Offsides,0,5
YellowCards,0,2
RedCards,0,0
30mLineEntries,63,20
PenaltyAreaEntries,15,11
DistanceCovered,114311,118179
Sprints,152,156
Attacks,154,136
ChanceBuildingRate,10.4,4.4
Possession,59.7,40.3
