,ventforet-kofu,yokohama-fa-marinos
Shots,12,7
ShotsOnTarget,2,2
ShotsFromPK,0,0
Passes,422,600
Crosses,12,9
DirectFK,16,7
IndirectFK,2,3
CK,6,5
Throwin,22,21
Dribbling,11,11
Tackles,29,26
Clearances,19,18
Intercepts,9,2
Offsides,3,2
YellowCards,1,0
RedCards,0,0
30mLineEntries,29,32
PenaltyAreaEntries,10,8
DistanceCovered,110174,108806
Sprints,156,116
Attacks,134,125
ChanceBuildingRate,9.0,5.6
Possession,42.6,57.4
