,albirex-niigata,yokohama-fa-marinos
Shots,8,10
ShotsOnTarget,1,1
ShotsFromPK,0,0
Passes,365,531
Crosses,9,14
DirectFK,14,23
IndirectFK,1,1
CK,2,5
Throwin,13,20
Dribbling,11,20
Tackles,29,23
Clearances,22,9
Intercepts,2,2
Offsides,1,1
YellowCards,5,0
RedCards,2,0
30mLineEntries,28,51
PenaltyAreaEntries,7,15
DistanceCovered,109742,113205
Sprints,127,137
Attacks,114,128
ChanceBuildingRate,7.0,7.8
Possession,44.3,55.7
