,albirex-niigata,kashima-antlers
Shots,17,9
ShotsOnTarget,6,5
ShotsFromPK,0,0
Passes,406,421
Crosses,11,16
DirectFK,14,15
IndirectFK,4,1
CK,6,6
Throwin,34,23
Dribbling,14,18
Tackles,26,22
Clearances,12,17
Intercepts,3,1
Offsides,1,4
YellowCards,1,0
RedCards,0,0
30mLineEntries,45,42
PenaltyAreaEntries,19,17
DistanceCovered,122196,119780
Sprints,214,189
Attacks,152,142
ChanceBuildingRate,11.2,6.3
Possession,47.8,52.2
