,vegalta-sendai,nagoya-grampus-eight
Shots,27,11
ShotsOnTarget,14,1
ShotsFromPK,0,0
Passes,473,454
Crosses,18,18
DirectFK,12,13
IndirectFK,3,2
CK,9,2
Throwin,23,17
Dribbling,11,6
Tackles,11,12
Clearances,30,22
Intercepts,0,2
Offsides,2,3
YellowCards,1,0
RedCards,0,0
30mLineEntries,61,37
PenaltyAreaEntries,31,14
DistanceCovered,120970,111671
Sprints,189,174
Attacks,139,123
ChanceBuildingRate,19.4,8.9
Possession,52.6,47.4
