,urawa-red-diamonds,matsumoto-yamaga
Shots,36,6
ShotsOnTarget,9,1
ShotsFromPK,0,0
Passes,746,222
Crosses,25,9
DirectFK,16,6
IndirectFK,3,1
CK,5,2
Throwin,23,11
Dribbling,27,4
Tackles,16,18
Clearances,10,30
Intercepts,7,3
Offsides,1,3
YellowCards,0,1
RedCards,0,0
30mLineEntries,77,20
PenaltyAreaEntries,28,4
DistanceCovered,115223,118526
Sprints,156,178
Attacks,126,106
ChanceBuildingRate,28.6,5.7
Possession,72.6,27.4
