,vissel-kobe,urawa-red-diamonds
Shots,10,14
ShotsOnTarget,1,6
ShotsFromPK,0,0
Passes,491,337
Crosses,16,4
DirectFK,8,23
IndirectFK,4,3
CK,5,1
Throwin,29,17
Dribbling,18,13
Tackles,18,37
Clearances,10,28
Intercepts,6,5
Offsides,3,4
YellowCards,2,2
RedCards,0,1
30mLineEntries,45,34
PenaltyAreaEntries,13,15
DistanceCovered,107924,109804
Sprints,148,156
Attacks,128,133
ChanceBuildingRate,7.8,10.5
Possession,58.4,41.6
