,kashima-antlers,sagan-tosu
Shots,20,7
ShotsOnTarget,7,2
ShotsFromPK,1,0
Passes,442,200
Crosses,14,9
DirectFK,22,21
IndirectFK,5,0
CK,7,4
Throwin,34,13
Dribbling,17,7
Tackles,15,27
Clearances,16,23
Intercepts,2,7
Offsides,0,5
YellowCards,2,4
RedCards,0,0
30mLineEntries,53,21
PenaltyAreaEntries,8,4
DistanceCovered,111418,110983
Sprints,141,154
Attacks,133,115
ChanceBuildingRate,15.0,6.1
Possession,63.7,36.3
