,gamba-osaka,sanfrecce-hiroshima
Shots,18,18
ShotsOnTarget,4,6
ShotsFromPK,0,0
Passes,647,433
Crosses,11,16
DirectFK,10,13
IndirectFK,0,1
CK,3,1
Throwin,21,14
Dribbling,11,13
Tackles,13,18
Clearances,18,24
Intercepts,7,8
Offsides,1,0
YellowCards,4,1
RedCards,1,0
30mLineEntries,59,40
PenaltyAreaEntries,16,11
DistanceCovered,112511,109072
Sprints,180,121
Attacks,113,112
ChanceBuildingRate,15.9,16.1
Possession,57,43
