,kawasaki-frontale,shimizu-s-pulse
Shots,20,13
ShotsOnTarget,8,5
ShotsFromPK,0,0
Passes,718,238
Crosses,20,8
DirectFK,17,10
IndirectFK,3,10
CK,9,3
Throwin,24,15
Dribbling,16,5
Tackles,17,25
Clearances,15,28
Intercepts,2,5
Offsides,9,3
YellowCards,1,1
RedCards,0,0
30mLineEntries,60,26
PenaltyAreaEntries,22,12
DistanceCovered,105722,103092
Sprints,129,122
Attacks,129,109
ChanceBuildingRate,15.5,11.9
Possession,67.9,32.1
