,albirex-niigata,kashiwa-reysol
Shots,21,14
ShotsOnTarget,5,6
ShotsFromPK,1,0
Passes,316,476
Crosses,16,10
DirectFK,20,15
IndirectFK,3,6
CK,13,10
Throwin,20,20
Dribbling,14,10
Tackles,24,23
Clearances,15,27
Intercepts,3,3
Offsides,5,2
YellowCards,4,3
RedCards,0,1
30mLineEntries,39,38
PenaltyAreaEntries,24,16
DistanceCovered,110269,109896
Sprints,194,163
Attacks,145,144
ChanceBuildingRate,14.5,9.7
Possession,41,59
