,nagoya-grampus-eight,matsumoto-yamaga
Shots,20,7
ShotsOnTarget,9,4
ShotsFromPK,1,0
Passes,506,276
Crosses,30,8
DirectFK,22,6
IndirectFK,3,0
CK,9,5
Throwin,42,29
Dribbling,9,4
Tackles,18,19
Clearances,15,42
Intercepts,6,3
Offsides,0,3
YellowCards,1,1
RedCards,0,0
30mLineEntries,59,16
PenaltyAreaEntries,27,7
DistanceCovered,102158,110897
Sprints,135,161
Attacks,153,132
ChanceBuildingRate,13.1,5.3
Possession,58.7,41.3
