,fc-tokyo,kashiwa-reysol
Shots,11,10
ShotsOnTarget,3,2
ShotsFromPK,1,1
Passes,295,579
Crosses,18,9
DirectFK,14,12
IndirectFK,3,5
CK,5,3
Throwin,46,24
Dribbling,13,6
Tackles,19,18
Clearances,28,32
Intercepts,2,3
Offsides,5,2
YellowCards,1,2
RedCards,0,0
30mLineEntries,24,52
PenaltyAreaEntries,10,7
DistanceCovered,105632,102387
Sprints,140,132
Attacks,130,114
ChanceBuildingRate,8.5,8.8
Possession,38.8,61.2
