,kawasaki-frontale,kashima-antlers
Shots,9,17
ShotsOnTarget,4,4
ShotsFromPK,0,0
Passes,624,458
Crosses,11,9
DirectFK,14,13
IndirectFK,4,5
CK,2,0
Throwin,30,19
Dribbling,17,12
Tackles,19,17
Clearances,18,17
Intercepts,1,2
Offsides,5,4
YellowCards,1,3
RedCards,0,0
30mLineEntries,48,53
PenaltyAreaEntries,11,10
DistanceCovered,112131,113681
Sprints,135,145
Attacks,129,116
ChanceBuildingRate,7.0,14.7
Possession,54.5,45.5
