,kashima-antlers,ventforet-kofu
Shots,14,14
ShotsOnTarget,6,3
ShotsFromPK,0,0
Passes,565,375
Crosses,9,11
DirectFK,13,17
IndirectFK,5,1
CK,5,5
Throwin,22,20
Dribbling,12,14
Tackles,18,27
Clearances,18,33
Intercepts,1,0
Offsides,1,4
YellowCards,2,5
RedCards,0,1
30mLineEntries,58,31
PenaltyAreaEntries,14,14
DistanceCovered,112304,113098
Sprints,124,128
Attacks,123,131
ChanceBuildingRate,11.4,10.7
Possession,55.7,44.3
