,shonan-bellmare,yokohama-fa-marinos
Shots,14,14
ShotsOnTarget,4,3
ShotsFromPK,0,0
Passes,349,449
Crosses,24,18
DirectFK,8,19
IndirectFK,3,3
CK,2,5
Throwin,28,29
Dribbling,12,14
Tackles,32,15
Clearances,33,27
Intercepts,4,0
Offsides,2,3
YellowCards,4,0
RedCards,0,0
30mLineEntries,43,46
PenaltyAreaEntries,10,15
DistanceCovered,114337,111050
Sprints,175,126
Attacks,126,141
ChanceBuildingRate,11.1,9.9
Possession,47.1,52.9
