,shimizu-s-pulse,nagoya-grampus-eight
Shots,17,12
ShotsOnTarget,10,7
ShotsFromPK,0,1
Passes,387,325
Crosses,24,7
DirectFK,13,17
IndirectFK,3,3
CK,12,3
Throwin,22,23
Dribbling,13,12
Tackles,21,23
Clearances,18,40
Intercepts,5,4
Offsides,3,3
YellowCards,4,1
RedCards,0,1
30mLineEntries,46,26
PenaltyAreaEntries,21,8
DistanceCovered,105572,98831
Sprints,140,119
Attacks,126,128
ChanceBuildingRate,13.5,9.4
Possession,52.6,47.4
