,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2018-02-23,(金),神戸,1-1,1,1,0,ベアスタ,19633,晴,49,48,0.056,7,0.143,0.386,9.18,7.15,106.67,21.03,['田川'],ブルーノ　コンカ
1,2,2018-03-03,(土),長崎,2-2,2,2,1,トラスタ,14125,雨,56,53,0.13,18,0.111,0.609,17.88,14.17,71.78,11.31,"['高橋秀', '鄭昇玄']",マッシモ　フィッカデンティ
2,3,2018-03-01,(土),横浜FM,2-1,2,1,1,ニッパツ,11247,曇,64,53,0.122,15,0.133,0.327,8.39,6.06,115.56,17.18,"['趙東建', 'ビクトルイバルボ']",マッシモ　フィッカデンティ
3,4,2018-03-18,(日),鹿島,0-1,0,1,0,ベアスタ,17757,晴のち曇,68,44,0.075,11,0.0,0.521,14.85,12.1,94.55,11.66,[''],マッシモ　フィッカデンティ
4,5,2018-03-31,(土),名古屋,3-2,3,2,0,ベアスタ,12957,晴,74,66,0.125,17,0.176,0.459,17.69,10.3,112.09,9.14,"['高橋秀', 'ビクトルイバルボ', '田川']",マッシモ　フィッカデンティ
5,6,2018-04-07,(土),Ｃ大阪,1-2,1,2,1,金鳥スタ,10627,曇一時晴,48,58,0.051,7,0.143,0.496,12.85,10.47,110.51,11.97,['趙東建'],マッシモ　フィッカデンティ
6,7,2018-04-11,(水),柏,1-2,1,2,0,ベアスタ,7138,曇,65,61,0.129,19,0.053,0.496,16.36,11.45,113.32,12.59,['小野'],マッシモ　フィッカデンティ
7,8,2018-04-15,(日),磐田,0-1,0,1,1,ヤマハ,11126,晴,58,57,0.101,13,0.0,0.505,11.41,9.13,93.24,11.12,[''],マッシモ　フィッカデンティ
8,9,2018-04-21,(土),広島,0-1,0,1,1,Ｅスタ,13706,晴,64,34,0.109,13,0.0,0.486,18.61,14.7,91.89,17.54,[''],マッシモ　フィッカデンティ
9,10,2018-04-25,(水),川崎Ｆ,0-2,0,2,0,ベアスタ,8490,晴,58,62,0.066,8,0.0,0.431,15.21,11.75,109.58,11.03,[''],マッシモ　フィッカデンティ
10,11,2018-04-29,(日),Ｇ大阪,0-3,0,3,1,吹田Ｓ,18642,晴,52,37,0.075,10,0.0,0.43,10.38,8.25,86.64,18.99,[''],マッシモ　フィッカデンティ
11,12,2018-05-02,(水),札幌,1-2,1,2,0,ベアスタ,7377,曇時々雨のち曇,56,62,0.153,18,0.056,0.427,13.33,10.24,93.16,12.93,['安庸佑'],マッシモ　フィッカデンティ
12,13,2018-05-06,(日),清水,3-1,3,1,0,ベアスタ,14103,雨,44,41,0.077,11,0.273,0.466,11.85,8.38,116.96,23.12,"['原川', '小野', '安庸佑']",マッシモ　フィッカデンティ
13,14,2018-05-13,(日),浦和,0-0,0,0,1,埼玉,40137,雨,0,35,0.016,2,0.0,0.377,6.34,6.11,112.72,27.84,[''],マッシモ　フィッカデンティ
14,15,2018-05-02,(日),FC東京,0-0,0,0,0,ベアスタ,12163,晴,47,31,0.081,10,0.0,0.417,10.38,7.91,84.41,17.57,[''],マッシモ　フィッカデンティ
15,16,2018-07-18,(水),湘南,1-1,1,1,1,ＢＭＷス,9229,曇,60,55,0.105,14,0.0,0.589,19.79,13.69,102.25,14.67,['OG'],マッシモ　フィッカデンティ
16,17,2018-07-22,(日),仙台,0-1,0,1,0,ベアスタ,17537,雨,66,58,0.172,20,0.0,0.519,17.31,13.51,85.71,11.66,[''],マッシモ　フィッカデンティ
17,18,2018-07-28,(土),磐田,0-0,0,0,0,ベアスタ,14333,晴,56,57,0.095,12,0.0,0.512,10.76,9.34,60.04,12.43,[''],マッシモ　フィッカデンティ
18,19,2018-08-01,(水),清水,0-1,0,1,1,アイスタ,14307,晴,40,50,0.058,7,0.0,0.598,15.91,12.94,72.53,13.31,[''],マッシモ　フィッカデンティ
19,20,2018-08-05,(日),Ｃ大阪,1-0,1,0,0,ベアスタ,14463,晴,52,45,0.092,10,0.1,0.38,7.76,7.15,66.69,18.64,['吉田'],マッシモ　フィッカデンティ
