,albirex-niigata,kawasaki-frontale
Shots,18,12
ShotsOnTarget,2,4
ShotsFromPK,0,0
Passes,418,575
Crosses,18,8
DirectFK,18,13
IndirectFK,4,1
CK,7,4
Throwin,21,28
Dribbling,17,16
Tackles,26,23
Clearances,24,30
Intercepts,1,2
Offsides,1,4
YellowCards,2,0
RedCards,1,0
30mLineEntries,49,45
PenaltyAreaEntries,18,11
Attacks,127,126
ChanceBuildingRate,14.2,9.5
Possession,43.7,56.3
