,urawa-red-diamonds,kawasaki-frontale
Shots,6,28
ShotsOnTarget,1,7
ShotsFromPK,0,0
Passes,392,547
Crosses,12,32
DirectFK,16,9
IndirectFK,1,1
CK,5,12
Throwin,15,24
Dribbling,6,21
Tackles,22,11
Clearances,38,11
Intercepts,2,0
Offsides,1,1
YellowCards,5,1
RedCards,2,0
30mLineEntries,21,87
PenaltyAreaEntries,7,23
Attacks,118,120
ChanceBuildingRate,5.1,23.3
Possession,46.2,53.8
