,kashiwa-reysol,fc-tokyo
Shots,19,12
ShotsOnTarget,4,3
ShotsFromPK,0,1
Passes,401,417
Crosses,18,10
DirectFK,20,15
IndirectFK,5,5
CK,3,2
Throwin,25,19
Dribbling,8,9
Tackles,18,19
Clearances,22,35
Intercepts,1,5
Offsides,5,4
YellowCards,3,4
RedCards,0,1
30mLineEntries,36,32
PenaltyAreaEntries,12,12
Attacks,137,137
ChanceBuildingRate,13.9,8.8
Possession,48.7,51.3
