,cerezo-osaka,vissel-kobe
Shots,16,11
ShotsOnTarget,4,4
ShotsFromPK,1,1
Passes,430,398
Crosses,11,10
DirectFK,20,7
IndirectFK,2,3
CK,6,6
Throwin,35,23
Dribbling,20,9
Tackles,19,31
Clearances,22,36
Intercepts,2,5
Offsides,3,2
YellowCards,1,3
RedCards,0,0
30mLineEntries,41,40
PenaltyAreaEntries,12,11
Attacks,159,144
ChanceBuildingRate,10.1,7.6
Possession,51.4,48.6
