,omiya-ardija,cerezo-osaka
Shots,16,16
ShotsOnTarget,3,9
ShotsFromPK,0,1
Passes,522,405
Crosses,25,14
DirectFK,19,14
IndirectFK,3,4
CK,2,8
Throwin,24,15
Dribbling,22,20
Tackles,25,24
Clearances,21,26
Intercepts,4,8
Offsides,4,3
YellowCards,2,2
RedCards,0,0
30mLineEntries,58,40
PenaltyAreaEntries,10,16
Attacks,143,137
ChanceBuildingRate,11.2,11.7
Possession,53.9,46.1
