,cerezo-osaka,fc-tokyo
Shots,14,16
ShotsOnTarget,3,2
ShotsFromPK,0,0
Passes,438,506
Crosses,14,14
DirectFK,17,10
IndirectFK,2,11
CK,4,3
Throwin,24,19
Dribbling,18,22
Tackles,18,23
Clearances,17,21
Intercepts,6,5
Offsides,11,2
YellowCards,0,3
RedCards,0,1
30mLineEntries,41,43
PenaltyAreaEntries,12,14
Attacks,135,123
ChanceBuildingRate,10.4,13.0
Possession,45.7,54.3
