,kashiwa-reysol,kashima-antlers
Shots,26,10
ShotsOnTarget,10,4
ShotsFromPK,1,0
Passes,466,331
Crosses,22,10
DirectFK,19,19
IndirectFK,5,4
CK,6,3
Throwin,28,20
Dribbling,13,15
Tackles,19,17
Clearances,29,33
Intercepts,0,2
Offsides,3,3
YellowCards,2,4
RedCards,0,0
30mLineEntries,45,29
PenaltyAreaEntries,10,13
Attacks,137,132
ChanceBuildingRate,19.0,7.6
Possession,55.5,44.5
