,consadole-sapporo,nagoya-grampus-eight
Shots,14,21
ShotsOnTarget,5,10
ShotsFromPK,0,0
Passes,307,553
Crosses,9,29
DirectFK,11,18
IndirectFK,5,0
CK,5,7
Throwin,18,12
Dribbling,14,10
Tackles,13,22
Clearances,32,25
Intercepts,1,4
Offsides,0,5
YellowCards,2,2
RedCards,0,0
30mLineEntries,28,73
PenaltyAreaEntries,12,24
Attacks,126,127
ChanceBuildingRate,11.1,16.5
Possession,41.1,58.9
