,urawa-red-diamonds,albirex-niigata
Shots,16,17
ShotsOnTarget,3,5
ShotsFromPK,0,0
Passes,588,319
Crosses,20,20
DirectFK,13,7
IndirectFK,0,2
CK,9,5
Throwin,24,19
Dribbling,17,11
Tackles,18,15
Clearances,20,34
Intercepts,3,2
Offsides,2,0
YellowCards,1,3
RedCards,0,0
30mLineEntries,66,37
PenaltyAreaEntries,13,13
Attacks,121,110
ChanceBuildingRate,13.2,15.5
Possession,60.4,39.6
