,gamba-osaka,kawasaki-frontale
Shots,13,12
ShotsOnTarget,6,5
ShotsFromPK,0,0
Passes,629,474
Crosses,20,17
DirectFK,20,11
IndirectFK,0,4
CK,3,4
Throwin,26,21
Dribbling,11,17
Tackles,21,26
Clearances,18,26
Intercepts,3,3
Offsides,4,0
YellowCards,2,4
RedCards,0,0
30mLineEntries,45,44
PenaltyAreaEntries,13,18
Attacks,136,133
ChanceBuildingRate,9.6,9.0
Possession,54.2,45.8
