,vegalta-sendai,kashiwa-reysol
Shots,16,10
ShotsOnTarget,2,5
ShotsFromPK,0,0
Passes,439,316
Crosses,22,15
DirectFK,12,12
IndirectFK,5,6
CK,5,2
Throwin,25,31
Dribbling,9,8
Tackles,17,20
Clearances,29,44
Intercepts,3,2
Offsides,6,5
YellowCards,1,1
RedCards,0,0
30mLineEntries,35,43
PenaltyAreaEntries,13,8
Attacks,134,121
ChanceBuildingRate,11.9,8.3
Possession,56.2,43.8
