,shimizu-s-pulse,kashiwa-reysol
Shots,14,23
ShotsOnTarget,7,14
ShotsFromPK,2,1
Passes,337,370
Crosses,12,30
DirectFK,16,11
IndirectFK,4,3
CK,1,7
Throwin,14,23
Dribbling,9,8
Tackles,10,13
Clearances,40,25
Intercepts,2,1
Offsides,3,4
YellowCards,4,3
RedCards,2,1
30mLineEntries,26,45
PenaltyAreaEntries,11,19
Attacks,114,113
ChanceBuildingRate,12.3,20.4
Possession,53.1,46.9
