,gamba-osaka,omiya-ardija
Shots,17,7
ShotsOnTarget,7,1
ShotsFromPK,1,0
Passes,635,403
Crosses,13,10
DirectFK,18,8
IndirectFK,0,7
CK,6,2
Throwin,29,21
Dribbling,10,10
Tackles,13,13
Clearances,21,23
Intercepts,0,2
Offsides,7,0
YellowCards,2,4
RedCards,0,0
30mLineEntries,46,33
PenaltyAreaEntries,14,6
Attacks,122,106
ChanceBuildingRate,13.9,6.6
Possession,59.1,40.9
