,albirex-niigata,shimizu-s-pulse
Shots,4,11
ShotsOnTarget,2,2
ShotsFromPK,0,0
Passes,235,659
Crosses,7,21
DirectFK,11,11
IndirectFK,4,3
CK,2,9
Throwin,22,35
Dribbling,11,17
Tackles,17,22
Clearances,54,20
Intercepts,0,3
Offsides,1,4
YellowCards,4,2
RedCards,0,0
30mLineEntries,21,46
PenaltyAreaEntries,7,23
Attacks,121,139
ChanceBuildingRate,3.3,7.9
Possession,31.7,68.3
