,jubilo-iwata,kashiwa-reysol
Shots,12,17
ShotsOnTarget,6,2
ShotsFromPK,0,0
Passes,356,448
Crosses,15,10
DirectFK,19,9
IndirectFK,8,4
CK,7,13
Throwin,33,38
Dribbling,22,9
Tackles,18,39
Clearances,51,26
Intercepts,4,2
Offsides,4,6
YellowCards,1,3
RedCards,0,0
30mLineEntries,34,25
PenaltyAreaEntries,9,14
Attacks,161,152
ChanceBuildingRate,7.5,11.2
Possession,48.5,51.5
