,vissel-kobe,jubilo-iwata
Shots,14,15
ShotsOnTarget,5,7
ShotsFromPK,0,0
Passes,370,496
Crosses,8,14
DirectFK,15,19
IndirectFK,3,0
CK,4,6
Throwin,22,26
Dribbling,8,14
Tackles,25,14
Clearances,30,23
Intercepts,3,2
Offsides,0,2
YellowCards,2,1
RedCards,1,0
30mLineEntries,24,55
PenaltyAreaEntries,11,12
Attacks,118,118
ChanceBuildingRate,11.9,12.7
Possession,41.9,58.1
