,urawa-red-diamonds,gamba-osaka
Shots,10,18
ShotsOnTarget,1,7
ShotsFromPK,0,0
Passes,605,449
Crosses,15,12
DirectFK,14,12
IndirectFK,1,0
CK,4,1
Throwin,24,14
Dribbling,21,12
Tackles,14,24
Clearances,12,24
Intercepts,4,6
Offsides,0,1
YellowCards,2,2
RedCards,0,0
30mLineEntries,64,49
PenaltyAreaEntries,16,18
Attacks,127,116
ChanceBuildingRate,7.9,15.5
Possession,57,43
